;Suomenkieliset;Ruotsinkieliset;Muun kieliset;Ulkomaalaiset;Ulkomaalaistaustaiset;H:gissä syntyneitä;Syntyneet lkm;Kuolleet lkm;Muutto alueelle lkm;Muutto alueelta lkm;Asukkaita/km2;Työpaikkoja/km2;Kerrosala/ha;Asukkaat yht;0-6-vuotiaat;7-15-vuotiaat;16-18-vuotiaat;19-24-vuotiaat;25-39-vuotiaat;40-64-vuotiaat;Yli 65-vuotiaat;Asuntokuntien lkm;Asuntokuntien keskikoko;1-hengen asuntokuntia;Perheiden lkm;Lapsiperheiden lkm;Perheiden keskikoko;15v täyttäneiden lkm;Enintään perusaste;Keskiaste;Alempi korkea-aste;Ylempi korkea-aste;Lukiota käyvät;Lukiota käyvien osuus 16-18-vuotiaista;Tulot/asukaseuroa;Tulot/yli 15-vuotiaat euroa;Tulot/asuntokunta euroa;Asuntojen keskikoko m2;Asumisväljyys m2/asukas;Asumistiheys huonetta/henki;Asuntoja yhteensä;Pientaloasuntoja;Vuokra-asuntoja;ARA-vuokra-asuntoja;Toimitilarakennukset yhteensä kerrosala 1000 m2;Liikerakennukset;Julkiset rakennukset;Teollisuusrakennukset;Muut rakennukset;Päiväkoteja;Lapsia päiväkotihoidossa yhteensä;Kokopäivähoidossa;Kokopäivähoidossa/100 lasta;Osapäivähoidossa;Osapäivähoidossa/100 lasta;Lapsia kokopäivä perhepäivähoidossa yht;Kokopäivä perhepäivähoidossa/100 lasta;Lapsia koti/yks.hoidon tuen piirissä;Suomenkielinen ala-aste koulut;Suomenkielinen ala-asteoppilaat;Suomenkielinen yläaste koulut;Suomenkielinen yläasteoppilaat;Ruotsinkielinen ala-aste koulut;Ruotsinkielinen ala-aste oppilaat;Ruotsinkielinen yläaste koulut;Ruotsinkielinen yläaste oppilaat;Lukio koulut;Lukio oppilaat;Erikoiskoulut;Erikoiskoulut oppilaat;Avohoitokäynnit yhteensä;Avohoitokäynnit yhteensä/asukas;Perusterveydenhuolto;Perusterveydenhuolto/asukas;Erikoissairaanhoito;Erikoissairaanhoito/asukas;Toimeentulotuen saajia;Toimeentulotuen saajia/1000 asukasta;Lastensuojelun asiakkaat;Lastensuojelun asiakkaita/1000 ;Kirjasto;Terveysasema;Leikkipuisto;Uimahalli;Muu sisäliikuntatila;Urheilukenttä;Kirkko;Posti;KELA:n toimisto;Apteekki;Alko;Päivittäistavarakaupat;Muut vähittäiskaupat;Ravintolat ja kahvilat;Puistoa ha;Metsää ha;Uimaranta kpl;Jalankulkuonnettomuuksia keskimäärin/vuosi;Työttömyysaste;Pitäaikaistyöttömyys;Nuorisotyöttömyys;Työllisyysaste
405;3547;137;90;55;115;2044;48;21;410;358;1110;343;681;3774;329;494;179;192;534;1462;584;1408;2.6;302;1100;634;2.9;2963;841;753;736;633;142;72.9;30247;37398;78463;98.7;38.2;1.46;1470;1301;224;49;56;6;20;25;5;2;173;166;59.1;7;2.5;11;3.9;80;2;338;0;-;0;0;0;0;0;0;0;0;26135;6.9;19659;5.2;6476;1.7;237;62.8;74;78.3;0;0;1;0;4;0;0;0;0;0;0;2;4;6;99;43;1;0.4;7;13.3;6.3;73
501;17800;488;2861;1956;2827;8663;335;112;3760;3084;2094;547;1267;21149;2118;1735;586;1987;5659;6580;2484;10759;1.96;4809;5633;2963;2.7;16714;5557;5960;3151;2046;331;51.4;20322;25707;39363;62.1;32;1.27;11328;735;5606;3690;420;45;219;104;52;16;1042;997;56.3;45;2.5;73;4.1;572;4;1405;3;674;0;0;0;0;2;498;0;0;166671;7.9;131623;6.2;35048;1.7;2267;107.2;361;84.9;1;1;3;0;11;1;2;1;0;3;1;14;33;25;160;210;0;2.4;9.3;14.6;6.7;70.5
502;7081;216;995;668;990;3404;96;79;1039;1090;4341;774;2291;8292;517;558;269;843;1724;3013;1368;4492;1.84;2106;2205;1094;2.5;7286;2612;2664;1381;629;166;48.6;21258;23977;39214;61.3;33.4;1.34;4688;479;2266;1656;76;26;25;15;10;5;257;257;61;-;-;24;5.7;129;2;682;1;259;0;0;0;0;0;0;0;0;66863;8.1;52995;6.4;13868;1.7;1012;122;128;101.3;1;0;2;0;6;1;0;1;0;1;0;5;14;6;41;19;1;0.8;9.2;16.3;7.9;69.5
503;24581;758;2608;1685;2584;13553;328;173;3336;3288;2506;1067;1695;27947;2221;2841;1193;2361;5487;10616;3228;13317;2.1;5353;7629;4352;2.8;23008;8060;7869;4719;2360;736;55.5;22451;27060;47324;69.5;33.2;1.31;13948;4619;5791;4092;681;176;143;268;94;19;1138;1083;57.2;55;2.9;104;5.5;546;7;1463;3;889;1;124;0;0;1;0;0;0;222602;8;176392;6.3;46210;1.7;2834;101.4;549;94.1;2;1;5;1;48;1;2;2;1;3;1;30;89;48;115;137;1;4.4;7.8;15.4;6.9;71.9
504;10170;319;815;590;852;5662;132;52;1179;1263;2744;532;1573;11304;902;1333;531;965;2045;4139;1389;4769;2.34;1368;3283;1834;2.8;9103;3356;3211;1814;722;356;59.2;21771;26636;50966;78;33.5;1.31;4896;2501;1560;1212;184;18;35;122;10;6;457;436;56.4;21;2.7;55;7.1;211;3;879;1;398;0;0;0;0;0;0;0;0;93813;8.3;76143;6.7;17670;1.6;997;88.2;191;74.1;1;1;3;1;8;1;0;1;0;1;0;9;16;9;77;47;0;0.8;7.2;15.8;6.4;69.3
505;16449;354;1569;997;1600;8678;229;89;1831;1972;2517;589;1483;18372;1581;2181;909;1387;3340;7036;1938;7785;2.36;2334;5309;3195;2.9;14913;4971;5040;3201;1701;582;64;22934;28572;54125;78.6;33.4;1.31;8132;4757;2777;2067;304;43;58;169;35;9;757;708;52.6;49;3.6;91;6.8;422;4;1126;1;408;0;0;0;0;0;817;0;0;127015;6.9;98852;5.4;28163;1.5;1614;87.9;246;56.3;2;1;2;0;17;1;1;1;0;1;0;12;27;17;56;112;0;1.8;7.4;11.9;9.3;72.2
506;4326;89;1211;787;1148;2451;81;54;931;1006;2930;274;1437;5626;447;561;224;484;967;1973;970;2873;1.96;1340;1444;830;2.8;4726;2506;1671;404;145;83;32.8;15769;19057;30721;62.3;31.9;1.28;3037;132;2003;1648;40;5;17;2;16;3;195;195;53.1;-;-;21;5.7;117;1;268;1;201;0;0;0;0;0;0;1;226;61948;11;51147;9.1;10801;1.9;1285;228.4;221;192;1;1;1;1;6;1;1;0;0;1;0;9;7;8;1;66;0;0;15.5;17.3;11.7;61.6
601;2863;699;208;163;284;1857;34;51;507;505;1526;415;1184;3770;262;361;121;270;791;1197;768;1903;1.96;907;951;480;2.8;3161;692;847;744;878;118;78.9;46558;54052;90760;87.1;43.8;1.58;2131;545;652;57;67;28;29;2;8;2;129;118;52;11;4.8;-;-;74;1;325;1;445;1;97;0;0;2;636;0;0;34866;9.2;29729;7.9;5137;1.4;106;28.1;14;19.8;1;0;0;0;8;1;1;0;0;0;0;3;5;8;16;89;1;0.4;5.4;21.6;6.9;70.8
602;22560;1127;2736;1844;2809;12017;329;225;4305;4213;3886;1644;2882;26423;1913;2260;864;2245;6220;9135;3786;14339;1.82;7207;6750;3553;2.6;22256;7473;7267;4271;3245;516;56.2;24179;28428;44178;61.2;33.6;1.37;15262;1227;8423;5831;796;182;119;376;119;12;982;920;57.9;62;3.9;68;4.3;478;5;1561;3;826;0;0;0;0;1;290;0;0;239642;9.1;194849;7.4;44793;1.7;3015;114.1;430;90.7;2;1;4;0;29;2;4;1;0;3;1;27;68;53;60;167;2;4.4;10.5;16.9;9.9;71.5
603;14260;1107;1106;766;1247;8054;194;115;2081;2143;994;133;567;16473;1324;1695;664;1006;2745;6335;2704;7736;2.12;2995;4637;2550;2.8;13588;4045;3934;3114;2495;496;67.2;28507;34483;60375;77.6;36.8;1.43;8351;2934;2895;1638;146;29;55;36;26;12;706;658;58.8;48;4.3;44;3.9;302;4;847;1;273;1;136;0;0;0;0;0;0;130574;7.9;105367;6.4;25207;1.5;1015;61.6;148;42.7;1;1;4;0;12;1;1;1;0;1;0;14;26;14;56;353;5;1.8;7.1;19.3;7.2;71.3
701;17581;1167;2615;1629;2537;10006;202;192;2561;2729;2680;1450;1973;21363;1501;1990;796;1716;3880;7745;3735;10761;1.98;4812;5636;2962;2.7;18202;6626;5958;3453;2165;547;61.8;23932;28560;47341;69.5;35.2;1.38;11291;2774;4685;2858;604;234;97;178;95;13;738;724;55.8;14;1.1;94;7.2;347;3;1057;2;617;1;205;1;286;1;548;0;0;181307;8.5;146662;6.9;34645;1.6;2404;112.5;390;97;1;1;2;1;31;1;3;1;1;3;3;29;193;71;55;127;2;4;10.4;17.9;8.1;68.5
702;7497;433;1683;1070;1585;4201;98;104;1534;1294;4389;631;2463;9613;699;960;336;575;1565;3508;1970;4778;1.99;2193;2473;1300;2.8;7898;3484;2440;1273;701;167;47.4;19652;23424;38815;66.5;33.6;1.39;5051;834;2327;1481;128;12;79;21;15;4;311;270;46;41;7;30;5.1;204;1;389;1;235;0;0;0;0;0;0;0;0;105445;11;87808;9.1;17637;1.8;1363;141.8;200;106.3;0;0;1;0;16;0;1;1;0;1;0;6;11;7;13;60;0;2;12.3;17.6;12.6;64.8
703;28146;1209;7070;4743;6780;15549;409;308;4488;4772;3679;433;1834;36425;2663;3661;1429;3034;6789;12998;5851;18331;1.98;8162;9555;5275;2.7;30455;13349;10864;4485;1757;706;44.1;18352;21970;36553;64.6;32.7;1.33;18916;2447;9366;7543;296;45;122;55;73;22;1396;1302;57.5;94;4.2;120;5.3;668;5;1882;2;867;0;0;0;0;1;291;0;0;326261;9;263847;7.2;62414;1.7;5578;153.1;897;123.8;1;2;5;1;25;1;2;2;0;2;1;30;38;47;95;299;0;3.2;12.8;17.6;11;65.5
704;28337;1858;5631;3513;5378;16029;501;215;4373;4632;2329;296;1299;35826;3302;3824;1266;2591;7563;12506;4774;17622;2.03;7597;9636;5410;2.8;28975;10281;9852;5821;3021;726;50.7;20993;26396;42714;66.1;32.6;1.31;18283;2183;7828;5065;523;94;122;207;100;29;1785;1717;61.1;68;2.4;103;3.7;806;7;2137;4;1109;1;121;0;0;1;500;0;0;286836;8;223411;6.2;63425;1.8;4928;137.6;1020;128.2;1;1;4;1;25;2;3;1;1;1;1;29;52;57;114;557;4;4;11;16.6;10.5;69.2
801;1590;453;70;42;93;757;12;10;105;84;83;;62;2113;196;489;117;76;228;873;134;653;3.24;68;581;429;3.4;1408;367;349;405;287;63;73.3;-;-;-;162.8;49.4;1.4;710;702;43;0;27;4;11;4;8;7;140;132;72.1;8;4.4;-;-;32;1;232;1;28;1;88;0;0;0;0;0;0;5819;2.8;4436;2.1;1383;0.7;10;4.7;10;13;1;0;0;0;;0;1;1;0;;0;;;;;;0;;4;25;7.1;76.3
